SKU,Barcode,Slug,Title,Status,Product Description,Stock Status,Quantity,Collections,Category,Sub Category,Settings/Size,Featured,Backorders allowed,Sold Individually,HUID,Min shipping days,Max shipping days,Metal Type,Metal Color,Gold Purity,Gold Gross,Gold Net,Silver Purity,Silver Gross,Silver Net,Platinum Purity,Platinum Gross,Platinum Net,Diamond From,Diamond Weight,Diamond Pieces,Diamond Type,Diamond Quality,Diamond Shapes,Diamond Cut,Custom Diamond Rate,Diamond Certified,Diamond Lab,Diamond Certificate ID,Gemstone From,Gemstone Quality,Gemstone Shape,Gemstone Type,Gemstone Size,Gemstone Pieces
SKU-0,221958,product-slug-0,Product Title 0,publish,<p>Product description for product 0</p>,onbackorder,52,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,15,5,10,Gold,Yellow,22KT,3.927975767,2.595304695,995,,,,,,master,0.396435417,19,Natural,VS2,Princess,Excellent,59910,No,GIA,,master,High,Round,Sapphire,8x5,75
SKU-1,141090,product-slug-1,Product Title 1,draft,<p>Product description for product 1</p>,onbackorder,22,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,2,5,10,Gold,Yellow,22KT,3.887995089,3.784934482,995,,,,,,master,0.101479655,21,Natural,VS2,Princess,Excellent,47568,No,GIA,,master,High,Round,Sapphire,8x5,76
SKU-2,970910,product-slug-2,Product Title 2,publish,<p>Product description for product 2</p>,onbackorder,42,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,16,5,10,Gold,Yellow,22KT,1.931085362,0.817122521,995,,,,,,master,1.274933418,44,Natural,VS2,Princess,Excellent,54118,No,GIA,,master,High,Round,Sapphire,8x5,64
SKU-3,370936,product-slug-3,Product Title 3,draft,<p>Product description for product 3</p>,onbackorder,60,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,4.233589392,1.566148192,995,,,,,,master,0.285577017,20,Natural,VS2,Princess,Excellent,52619,No,GIA,,master,High,Round,Sapphire,8x5,60
SKU-4,560337,product-slug-4,Product Title 4,publish,<p>Product description for product 4</p>,onbackorder,4,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,2,5,10,Gold,Yellow,22KT,2.700623498,1.22779582,995,,,,,,master,1.178630623,29,Natural,VS2,Princess,Excellent,42990,No,GIA,,master,High,Round,Sapphire,8x5,18
SKU-5,635822,product-slug-5,Product Title 5,draft,<p>Product description for product 5</p>,onbackorder,72,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,14,5,10,Gold,Yellow,22KT,1.78393145,0.658295511,995,,,,,,master,0.718127628,16,Natural,VS2,Princess,Excellent,54300,No,GIA,,master,High,Round,Sapphire,8x5,82
SKU-6,616588,product-slug-6,Product Title 6,publish,<p>Product description for product 6</p>,onbackorder,41,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,15,5,10,Gold,Yellow,22KT,1.661067756,0.554727424,995,,,,,,master,0.904462813,1,Natural,VS2,Princess,Excellent,32027,No,GIA,,master,High,Round,Sapphire,8x5,8
SKU-7,113986,product-slug-7,Product Title 7,draft,<p>Product description for product 7</p>,onbackorder,35,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,1,5,10,Gold,Yellow,22KT,3.423839899,3.742053075,995,,,,,,master,1.337046348,28,Natural,VS2,Princess,Excellent,52662,No,GIA,,master,High,Round,Sapphire,8x5,73
SKU-8,701661,product-slug-8,Product Title 8,publish,<p>Product description for product 8</p>,onbackorder,88,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,5,5,10,Gold,Yellow,22KT,3.918424713,2.73145115,995,,,,,,master,1.785704211,1,Natural,VS2,Princess,Excellent,44948,No,GIA,,master,High,Round,Sapphire,8x5,47
SKU-9,997421,product-slug-9,Product Title 9,draft,<p>Product description for product 9</p>,onbackorder,27,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,3.842651559,0.888117873,995,,,,,,master,0.934739354,32,Natural,VS2,Princess,Excellent,49174,No,GIA,,master,High,Round,Sapphire,8x5,52
SKU-10,298286,product-slug-10,Product Title 10,publish,<p>Product description for product 10</p>,onbackorder,43,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,4,5,10,Gold,Yellow,22KT,4.771414282,2.596029133,995,,,,,,master,1.420091373,28,Natural,VS2,Princess,Excellent,40817,No,GIA,,master,High,Round,Sapphire,8x5,42
SKU-11,125939,product-slug-11,Product Title 11,draft,<p>Product description for product 11</p>,onbackorder,30,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,11,5,10,Gold,Yellow,22KT,2.297380084,0.927307841,995,,,,,,master,0.776965892,33,Natural,VS2,Princess,Excellent,31306,No,GIA,,master,High,Round,Sapphire,8x5,62
SKU-12,121959,product-slug-12,Product Title 12,publish,<p>Product description for product 12</p>,onbackorder,27,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,9,5,10,Gold,Yellow,22KT,2.939319885,2.923526115,995,,,,,,master,0.611883434,24,Natural,VS2,Princess,Excellent,31998,No,GIA,,master,High,Round,Sapphire,8x5,59
SKU-13,937437,product-slug-13,Product Title 13,draft,<p>Product description for product 13</p>,onbackorder,58,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,12,5,10,Gold,Yellow,22KT,2.007129183,2.240369771,995,,,,,,master,0.671668789,49,Natural,VS2,Princess,Excellent,57575,No,GIA,,master,High,Round,Sapphire,8x5,81
SKU-14,452228,product-slug-14,Product Title 14,publish,<p>Product description for product 14</p>,onbackorder,96,Gold Jewellery,Ladies Ring,Ring,Standard,Yes,No,No,1,5,10,Gold,Yellow,22KT,3.537405379,2.88246908,995,,,,,,master,1.108775708,26,Natural,VS2,Princess,Excellent,35791,No,GIA,,master,High,Round,Sapphire,8x5,70
